x	T1	T2	T3	T4
[s]	[um/m]	[um/m]	[um/m]	[um/m]
  0.000000E+000	 -6.300000E+001	 -7.000000E+001	 -4.800000E+001	 -2.700000E+001
  6.250000E-004	 -6.100000E+001	 -7.200000E+001	 -4.500000E+001	 -2.700000E+001
  1.250000E-003	 -5.700000E+001	 -6.500000E+001	 -4.200000E+001	 -2.100000E+001
  1.875000E-003	 -6.100000E+001	 -6.600000E+001	 -4.400000E+001	 -2.500000E+001
  2.500000E-003	 -5.800000E+001	 -6.200000E+001	 -3.900000E+001	 -2.500000E+001
  3.125000E-003	 -6.100000E+001	 -6.400000E+001	 -4.600000E+001	 -2.600000E+001
  3.750000E-003	 -6.600000E+001	 -7.300000E+001	 -5.200000E+001	 -2.800000E+001
  4.375000E-003	 -5.600000E+001	 -6.700000E+001	 -4.400000E+001	 -2.600000E+001
  5.000000E-003	 -5.700000E+001	 -6.400000E+001	 -4.400000E+001	 -2.300000E+001
  5.625000E-003	 -5.900000E+001	 -6.200000E+001	 -4.200000E+001	 -1.900000E+001
  6.250000E-003	 -5.500000E+001	 -5.900000E+001	 -4.200000E+001	 -2.600000E+001
  6.875000E-003	 -6.000000E+001	 -6.900000E+001	 -5.200000E+001	 -3.300000E+001
  7.500000E-003	 -6.400000E+001	 -7.100000E+001	 -4.500000E+001	 -2.300000E+001
  8.125000E-003	 -6.000000E+001	 -6.900000E+001	 -4.600000E+001	 -2.500000E+001
  8.750000E-003	 -5.800000E+001	 -6.700000E+001	 -4.400000E+001	 -2.400000E+001
  9.375000E-003	 -5.100000E+001	 -5.900000E+001	 -3.600000E+001	 -2.300000E+001
  1.000000E-002	 -5.900000E+001	 -6.600000E+001	 -4.700000E+001	 -3.100000E+001
  1.062500E-002	 -6.500000E+001	 -7.200000E+001	 -4.700000E+001	 -3.000000E+001
  1.125000E-002	 -5.900000E+001	 -7.000000E+001	 -4.700000E+001	 -2.800000E+001
  1.187500E-002	 -6.100000E+001	 -7.100000E+001	 -4.600000E+001	 -2.200000E+001
  1.250000E-002	 -5.300000E+001	 -6.500000E+001	 -4.200000E+001	 -2.300000E+001
  1.312500E-002	 -6.000000E+001	 -5.900000E+001	 -4.100000E+001	 -2.300000E+001
  1.375000E-002	 -6.500000E+001	 -7.400000E+001	 -5.200000E+001	 -3.000000E+001
  1.437500E-002	 -5.700000E+001	 -6.800000E+001	 -4.500000E+001	 -2.800000E+001
  1.500000E-002	 -6.000000E+001	 -7.300000E+001	 -4.500000E+001	 -2.500000E+001
  1.562500E-002	 -5.900000E+001	 -7.100000E+001	 -5.000000E+001	 -2.500000E+001
  1.625000E-002	 -5.300000E+001	 -6.200000E+001	 -3.900000E+001	 -2.400000E+001
  1.687500E-002	 -6.400000E+001	 -7.000000E+001	 -4.500000E+001	 -2.900000E+001
  1.750000E-002	 -6.300000E+001	 -6.900000E+001	 -4.600000E+001	 -2.700000E+001
  1.812500E-002	 -6.000000E+001	 -6.600000E+001	 -4.400000E+001	 -2.900000E+001
  1.875000E-002	 -6.100000E+001	 -7.600000E+001	 -5.200000E+001	 -2.500000E+001
  1.937500E-002	 -5.300000E+001	 -5.700000E+001	 -3.600000E+001	 -2.300000E+001
  2.000000E-002	 -5.800000E+001	 -6.200000E+001	 -4.300000E+001	 -2.500000E+001
  2.062500E-002	 -6.300000E+001	 -7.100000E+001	 -4.700000E+001	 -2.600000E+001
  2.125000E-002	 -6.100000E+001	 -6.800000E+001	 -4.400000E+001	 -2.700000E+001
  2.187500E-002	 -6.400000E+001	 -7.200000E+001	 -4.900000E+001	 -2.600000E+001
  2.250000E-002	 -5.200000E+001	 -6.500000E+001	 -4.100000E+001	 -2.300000E+001
  2.312500E-002	 -5.700000E+001	 -6.300000E+001	 -3.800000E+001	 -2.400000E+001
  2.375000E-002	 -6.600000E+001	 -7.100000E+001	 -4.900000E+001	 -2.500000E+001
  2.437500E-002	 -5.500000E+001	 -6.200000E+001	 -4.000000E+001	 -2.400000E+001
  2.500000E-002	 -6.300000E+001	 -7.300000E+001	 -4.600000E+001	 -2.700000E+001
  2.562500E-002	 -5.800000E+001	 -7.400000E+001	 -4.900000E+001	 -2.600000E+001
  2.625000E-002	 -5.900000E+001	 -6.000000E+001	 -3.900000E+001	 -2.400000E+001
  2.687500E-002	 -5.800000E+001	 -6.700000E+001	 -4.500000E+001	 -2.500000E+001
  2.750000E-002	 -5.900000E+001	 -6.700000E+001	 -4.100000E+001	 -2.300000E+001
  2.812500E-002	 -5.800000E+001	 -6.600000E+001	 -4.300000E+001	 -2.400000E+001
  2.875000E-002	 -6.100000E+001	 -7.300000E+001	 -4.800000E+001	 -2.800000E+001
  2.937500E-002	 -5.000000E+001	 -6.100000E+001	 -3.800000E+001	 -2.400000E+001
  3.000000E-002	 -5.800000E+001	 -6.500000E+001	 -4.200000E+001	 -2.300000E+001
